0, 0
1, 0
2, 41
3, 41
4, 41
5, 40
6, 40
7, 41
8, 41
9, 40
10, 41
11, 40
12, 39
13, 39
14, 39
15, 39
16, 41
17, 46
18, 51
19, 44
20, 42
21, 42
22, 47
23, 47
24, 42
25, 42
26, 42
27, 42
28, 42
29, 42
30, 41
31, 52
32, 41
33, 42
34, 42
35, 42
36, 41
37, 41
38, 41
39, 41
40, 42
41, 42
42, 42
43, 42
44, 42
45, 41
46, 41
47, 41
48, 41
49, 41
50, 42
51, 42
52, 42
53, 42
54, 41
55, 41
56, 41
57, 42
58, 42
59, 42
60, 43
61, 47
62, 42
63, 42
64, 42
65, 42
66, 42
67, 43
68, 47
69, 41
70, 54
71, 49
72, 44
73, 57
74, 51
