0, 0
1, 0
2, 53
3, 53
4, 53
5, 51
6, 51
7, 50
8, 49
9, 49
10, 48
11, 51
12, 52
13, 53
14, 55
15, 55
16, 56
17, 55
18, 56
19, 57
20, 58
21, 58
22, 58
23, 59
24, 0
25, 0
26, 57
27, 57
28, 57
29, 54
30, 53
31, 51
32, 51
33, 51
34, 51
35, 51
36, 51
37, 52
38, 54
39, 55
40, 56
41, 56
42, 56
43, 55
44, 54
45, 53
46, 53
47, 53
48, 54
49, 55
50, 55
51, 55
52, 56
53, 56
54, 56
55, 54
56, 54
57, 54
58, 54
59, 54
60, 54
61, 54
62, 54
63, 54
64, 56
65, 56
66, 54
67, 53
68, 59
69, 60
70, 56
71, 56
72, 56
73, 57
74, 58
75, 58
76, 58
77, 55
78, 54
79, 58
80, 58
81, 59
82, 59
83, 58
84, 58
85, 0
86, 1
87, 60
88, 58
89, 58
90, 57
91, 55
92, 54
93, 53
94, 49
95, 51
96, 51
97, 52
98, 53
99, 53
100, 56
