0, 0
1, 0
2, 55
3, 55
4, 55
5, 55
6, 55
7, 55
8, 55
9, 55
10, 55
11, 55
12, 60
13, 60
14, 56
15, 56
16, 55
17, 55
18, 55
19, 55
20, 54
21, 55
22, 55
23, 55
24, 55
25, 55
26, 55
27, 55
28, 55
29, 55
30, 55
31, 55
32, 55
33, 55
34, 54
35, 55
36, 55
37, 60
38, 61
39, 55
40, 55
41, 55
42, 55
43, 54
44, 54
45, 54
46, 55
47, 55
48, 61
49, 55
50, 56
51, 56
52, 56
53, 59
54, 66
55, 55
56, 55
57, 55
58, 55
59, 55
60, 56
61, 56
62, 56
63, 56
64, 56
65, 56
66, 56
67, 56
68, 56
69, 56
70, 58
71, 58
72, 58
73, 58
74, 58
75, 58
76, 59
77, 59
78, 59
