0, 0
1, 0
2, 0
3, 47
4, 44
5, 43
6, 44
7, 43
8, 42
9, 42
10, 42
11, 42
12, 41
13, 43
14, 49
15, 44
16, 42
17, 41
18, 41
19, 41
20, 43
21, 49
22, 50
23, 53
24, 43
25, 42
26, 48
27, 41
28, 43
29, 51
30, 43
31, 44
32, 43
33, 46
34, 52
35, 43
36, 45
37, 41
38, 46
39, 46
40, 41
41, 42
42, 42
43, 50
44, 52
45, 41
46, 41
47, 43
48, 51
49, 49
50, 43
51, 41
52, 44
53, 51
54, 50
55, 42
56, 41
57, 46
58, 53
59, 49
60, 41
61, 41
62, 45
63, 50
64, 50
65, 42
66, 41
67, 44
68, 52
69, 44
70, 41
71, 41
72, 50
73, 51
74, 46
75, 41
76, 41
77, 45
78, 50
79, 46
80, 42
81, 43
82, 42
83, 41
84, 41
85, 44
86, 45
87, 40
88, 43
89, 41
90, 46
91, 49
92, 42
93, 41
94, 41
95, 41
96, 40
97, 39
98, 40
99, 42
100, 46
101, 44
